SRC IP,Arrival Time,ARP,LLC,EAPOL,IP,ICMP,ICMP6,TCP,UDP,TCP_w_size,HTTP,HTTPS,DHCP,BOOTP,SSDP,DNS,MDNS,NTP,FTP,IP_padding,IP_ralert,Portcl_src,Portcl_dst,Pck_size,Pck_rawdata,Entropy,Flow Volume,Flow Per Second,Flow Duration,Average Flow Rate
192.168.29.8,5.288095951080322,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,1,0,0,3,1,52,0,0,66,0,14.365926027297974,4.594204360692623
192.168.29.8,5.291671991348267,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,1,0,0,3,1,40,0,0,54,0,14.369502067565918,3.7579590264220744
192.168.29.8,5.298113822937012,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,1,0,0,3,1,55,1,3.773557262275185,69,15,14.375943899154663,4.7996848404547094
192.168.29.8,5.302204847335815,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,1,0,0,3,1,55,1,3.6402239289418516,69,15,14.380034923553467,4.798319362005369
192.168.29.8,5.305821895599365,0,0,0,1,0,0,1,0,512,0,0,0,0,0,0,0,0,1,0,0,3,1,46,1,2.584962500721156,60,6,14.383651971817017,4.1714023752495235
192.168.29.8,5.3092498779296875,0,0,0,1,0,0,1,0,512,0,0,0,0,0,0,0,0,1,0,0,3,1,40,0,0,54,0,14.387079954147339,3.7533676167854697
192.168.29.8,5.3105549812316895,0,0,0,1,0,0,1,0,512,0,0,0,0,0,0,0,0,1,0,0,3,1,40,0,0,54,0,14.38838505744934,3.753027166314431
192.168.29.8,18.327064037322998,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,1,0,0,3,1,52,0,0,66,0,27.40489411354065,2.4083289549142854
192.168.29.8,18.330468893051147,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,1,0,0,3,1,40,0,0,54,0,27.4082989692688,1.9702061795424373
192.168.29.8,18.335721969604492,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,1,0,0,3,1,55,1,3.773557262275185,69,15,27.413552045822144,2.517003264832865
192.168.29.8,18.33933687210083,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,1,0,0,3,1,55,1,3.6402239289418516,69,15,27.41716694831848,2.5166714026312564
192.168.29.8,18.34260082244873,0,0,0,1,0,0,1,0,512,0,0,0,0,0,0,0,0,1,0,0,3,1,48,1,3.0,62,8,27.420430898666382,2.2610877352410763
192.168.29.8,18.346189975738525,0,0,0,1,0,0,1,0,512,0,0,0,0,0,0,0,0,1,0,0,3,1,46,1,2.584962500721156,60,6,27.424020051956177,2.1878630443795988
192.168.29.8,18.350212812423706,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,0,3,3,52,0,0,66,0,27.428042888641357,2.40629636857292
192.168.29.8,18.35326099395752,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,40,0,0,54,0,27.43109107017517,1.9685691634304783
192.168.29.8,18.353564977645874,0,0,0,1,0,0,1,0,512,0,0,0,0,0,0,0,0,1,0,0,3,1,57,1,4.08746284125034,71,17,27.431395053863525,2.588275217523074
192.168.29.8,18.35982394218445,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,0.2439107377633235,1514,1460,27.4376540184021,55.1796446950085
192.168.29.8,18.360234022140503,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,-0.0,1514,1460,27.438064098358154,55.178819998842236
192.168.29.8,18.360234022140503,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,-0.0,1514,1460,27.438064098358154,55.178819998842236
192.168.29.8,18.360234022140503,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,-0.0,1514,1460,27.438064098358154,55.178819998842236
192.168.29.8,18.36068892478943,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,-0.0,1514,1460,27.43851900100708,55.17790519030679
192.168.29.8,18.36068892478943,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,932,1,-0.0,946,892,27.43851900100708,34.477079465013354
192.168.29.8,18.36068892478943,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,-0.0,1514,1460,27.43851900100708,55.17790519030679
192.168.29.8,18.36068892478943,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,-0.0,1514,1460,27.43851900100708,55.17790519030679
192.168.29.8,18.36068892478943,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,-0.0,1514,1460,27.43851900100708,55.17790519030679
192.168.29.8,18.36068892478943,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,-0.0,1514,1460,27.43851900100708,55.17790519030679
192.168.29.8,18.364229917526245,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,-0.0,1514,1460,27.442059993743896,55.17078529618965
192.168.29.8,18.364229917526245,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,-0.0,1514,1460,27.442059993743896,55.17078529618965
192.168.29.8,18.364691019058228,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,-0.0,1514,1460,27.44252109527588,55.16985829194203
192.168.29.8,18.364691019058228,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,-0.0,1514,1460,27.44252109527588,55.16985829194203
192.168.29.8,18.366638898849487,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,-0.0,1514,1460,27.44446897506714,55.16594259395016
192.168.29.8,18.366638898849487,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,-0.0,1514,1460,27.44446897506714,55.16594259395016
192.168.29.8,18.366638898849487,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,-0.0,1514,1460,27.44446897506714,55.16594259395016
192.168.29.8,18.366638898849487,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,-0.0,1514,1460,27.44446897506714,55.16594259395016
192.168.29.8,18.367194890975952,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,-0.0,1514,1460,27.445024967193604,55.16482502055506
192.168.29.8,18.367194890975952,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,-0.0,1514,1460,27.445024967193604,55.16482502055506
192.168.29.8,18.372442960739136,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,-0.0,1514,1460,27.450273036956787,55.15427835496117
192.168.29.8,18.372442960739136,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,-0.0,1514,1460,27.450273036956787,55.15427835496117
192.168.29.8,18.372442960739136,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,-0.0,1514,1460,27.450273036956787,55.15427835496117
192.168.29.8,18.372442960739136,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,-0.0,1514,1460,27.450273036956787,55.15427835496117
192.168.29.8,18.372442960739136,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,-0.0,1514,1460,27.450273036956787,55.15427835496117
192.168.29.8,18.372442960739136,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,-0.0,1514,1460,27.450273036956787,55.15427835496117
192.168.29.8,18.372442960739136,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,-0.0,1514,1460,27.450273036956787,55.15427835496117
192.168.29.8,18.372442960739136,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,-0.0,1514,1460,27.450273036956787,55.15427835496117
192.168.29.8,18.372890949249268,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,-0.0,1514,1460,27.45072102546692,55.15337825171927
192.168.29.8,18.37365198135376,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,-0.0,1514,1460,27.45148205757141,55.15184924532782
192.168.29.8,18.37365198135376,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,-0.0,1514,1460,27.45148205757141,55.15184924532782
192.168.29.8,18.37365198135376,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,-0.0,1514,1460,27.45148205757141,55.15184924532782
192.168.29.8,18.37365198135376,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,-0.0,1514,1460,27.45148205757141,55.15184924532782
192.168.29.8,18.37408995628357,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,-0.0,1514,1460,27.45192003250122,55.15096933866652
192.168.29.8,18.375366926193237,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,-0.0,1514,1460,27.45319700241089,55.14840402256405
192.168.29.8,18.375366926193237,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,1.110794066697259,1514,1460,27.45319700241089,55.14840402256405
192.168.29.8,18.376672983169556,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,6.397324168052043,1514,1460,27.454503059387207,55.145780520049705
192.168.29.8,18.376672983169556,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,5.7245281127518055,1514,1460,27.454503059387207,55.145780520049705
192.168.29.8,18.376672983169556,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,5.275894577574266,1514,1460,27.454503059387207,55.145780520049705
