SRC IP,Arrival Time,ARP,LLC,EAPOL,IP,ICMP,ICMP6,TCP,UDP,TCP_w_size,HTTP,HTTPS,DHCP,BOOTP,SSDP,DNS,MDNS,NTP,FTP,IP_padding,IP_ralert,Portcl_src,Portcl_dst,Pck_size,Pck_rawdata,Entropy,Flow Volume,Flow Per Second,Flow Duration,Average Flow Rate
192.168.29.8,5.181473731994629,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,1,0,0,3,1,52,0,0,66,0,6.550121068954468,10.07614963222885
192.168.29.8,5.185216665267944,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,1,0,0,3,1,40,0,0,54,0,6.553864002227783,8.239414180954071
192.168.29.8,5.189671754837036,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,1,0,0,3,1,55,1,3.773557262275185,69,15,6.558319091796875,10.520988539015276
192.168.29.8,5.192678689956665,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,1,0,0,3,1,55,1,3.6402239289418516,69,15,6.561326026916504,10.516166963345755
192.168.29.8,5.244163751602173,0,0,0,1,0,0,1,0,512,0,0,0,0,0,0,0,0,1,0,0,3,1,48,1,3.0,62,8,6.612811088562012,9.375740387811714
192.168.29.8,5.25055456161499,0,0,0,1,0,0,1,0,512,0,0,0,0,0,0,0,0,1,0,0,3,1,46,1,2.584962500721156,60,6,6.619201898574829,9.064536921425303
192.168.29.8,5.254781723022461,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,0,3,3,52,0,0,66,0,6.6234290599823,9.964626993404588
192.168.29.8,5.257797718048096,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,40,0,0,54,0,6.626445055007935,8.149165887852568
192.168.29.8,5.258134603500366,0,0,0,1,0,0,1,0,512,0,0,0,0,0,0,0,0,1,0,0,3,1,58,1,4.169925001442313,72,18,6.626781940460205,10.865002145370106
192.168.29.8,5.262774705886841,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,7.3870740619267785,1514,1460,6.63142204284668,228.3069890919027
192.168.29.8,5.263113737106323,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,7.6056816346546805,1514,1460,6.631761074066162,228.29531750179808
192.168.29.8,5.263113737106323,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,7.477575384568139,1514,1460,6.631761074066162,228.29531750179808
192.168.29.8,5.263113737106323,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,7.564180537378753,1514,1460,6.631761074066162,228.29531750179808
192.168.29.8,5.263113737106323,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,7.512941440845325,1514,1460,6.631761074066162,228.29531750179808
192.168.29.8,5.263113737106323,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,932,1,7.490661873803299,946,892,6.631761074066162,142.6468760612292
192.168.29.8,5.263401746749878,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,7.540951941304553,1514,1460,6.632049083709717,228.28540333316198
192.168.29.8,5.263401746749878,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,7.518212087631467,1514,1460,6.632049083709717,228.28540333316198
192.168.29.8,5.263401746749878,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,7.646860082301478,1514,1460,6.632049083709717,228.28540333316198
192.168.29.8,5.264036655426025,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,7.516177376390408,1514,1460,6.632683992385864,228.26355088498556
192.168.29.8,5.26689076423645,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,7.567259039755988,1514,1460,6.635538101196289,228.1653690944896
192.168.29.8,5.26689076423645,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,7.5516235961762925,1514,1460,6.635538101196289,228.1653690944896
192.168.29.8,5.26689076423645,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,7.545587639381837,1514,1460,6.635538101196289,228.1653690944896
192.168.29.8,5.26689076423645,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,7.56756385688067,1514,1460,6.635538101196289,228.1653690944896
192.168.29.8,5.267116546630859,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,7.532607550141479,1514,1460,6.635763883590698,228.15760574964202
192.168.29.8,5.267116546630859,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,7.527799249943258,1514,1460,6.635763883590698,228.15760574964202
192.168.29.8,5.267116546630859,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,7.56578920920046,1514,1460,6.635763883590698,228.15760574964202
192.168.29.8,5.269838571548462,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,7.630194104517981,1514,1460,6.638485908508301,228.0640526870084
192.168.29.8,5.269838571548462,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,7.526492562559386,1514,1460,6.638485908508301,228.0640526870084
192.168.29.8,5.269838571548462,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,7.6947193031101335,1514,1460,6.638485908508301,228.0640526870084
192.168.29.8,5.269838571548462,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,7.524272638367481,1514,1460,6.638485908508301,228.0640526870084
192.168.29.8,5.269838571548462,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,7.641070734098808,1514,1460,6.638485908508301,228.0640526870084
192.168.29.8,5.269838571548462,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,7.5509956335786494,1514,1460,6.638485908508301,228.0640526870084
192.168.29.8,5.269838571548462,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,7.6351951569100045,1514,1460,6.638485908508301,228.0640526870084
192.168.29.8,5.269838571548462,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,7.48729163203098,1514,1460,6.638485908508301,228.0640526870084
192.168.29.8,5.269838571548462,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,7.50894357510434,1514,1460,6.638485908508301,228.0640526870084
192.168.29.8,5.269838571548462,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,7.580084035622632,1514,1460,6.638485908508301,228.0640526870084
192.168.29.8,5.27035665512085,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,7.581066975513357,1514,1460,6.6390039920806885,228.0462554030649
192.168.29.8,5.27035665512085,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,7.543818507902633,1514,1460,6.6390039920806885,228.0462554030649
192.168.29.8,5.27035665512085,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,7.567432916203926,1514,1460,6.6390039920806885,228.0462554030649
192.168.29.8,5.2710747718811035,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,7.507212951638105,1514,1460,6.639722108840942,228.02159114220672
192.168.29.8,5.2710747718811035,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,7.568052842107802,1514,1460,6.639722108840942,228.02159114220672
192.168.29.8,5.2710747718811035,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,7.543059988928159,1514,1460,6.639722108840942,228.02159114220672
192.168.29.8,5.2710747718811035,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,7.652558149676052,1514,1460,6.639722108840942,228.02159114220672
192.168.29.8,5.2710747718811035,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,7.565273879402852,1514,1460,6.639722108840942,228.02159114220672
192.168.29.8,5.2710747718811035,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,7.563629711889945,1514,1460,6.639722108840942,228.02159114220672
192.168.29.8,5.2710747718811035,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,7.588218252097322,1514,1460,6.639722108840942,228.02159114220672
192.168.29.8,5.271695613861084,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,7.59813986365442,1514,1460,6.640342950820923,228.00027215655018
192.168.29.8,5.271695613861084,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,7.590399702950197,1514,1460,6.640342950820923,228.00027215655018
192.168.29.8,5.271695613861084,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,7.505190697588258,1514,1460,6.640342950820923,228.00027215655018
192.168.29.8,5.271695613861084,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,7.550799963448597,1514,1460,6.640342950820923,228.00027215655018
192.168.29.8,5.2720255851745605,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,7.444970700033426,1514,1460,6.640672922134399,227.98894295088706
192.168.29.8,5.2720255851745605,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,7.52934807144397,1514,1460,6.640672922134399,227.98894295088706
192.168.29.8,5.277050733566284,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,7.524959981292721,1514,1460,6.645698070526123,227.81654898145868
192.168.29.8,5.277050733566284,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,7.48370539393656,1514,1460,6.645698070526123,227.81654898145868
192.168.29.8,5.277050733566284,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,7.53534672258167,1514,1460,6.645698070526123,227.81654898145868
192.168.29.8,5.277050733566284,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,7.548748737335382,1514,1460,6.645698070526123,227.81654898145868
192.168.29.8,5.277050733566284,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,7.4974003993087805,1514,1460,6.645698070526123,227.81654898145868
192.168.29.8,5.277050733566284,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,7.562078656735306,1514,1460,6.645698070526123,227.81654898145868
192.168.29.8,5.277050733566284,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,7.549529928925578,1514,1460,6.645698070526123,227.81654898145868
192.168.29.8,5.277050733566284,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,7.5560883283881255,1514,1460,6.645698070526123,227.81654898145868
192.168.29.8,5.277050733566284,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,7.510237827466362,1514,1460,6.645698070526123,227.81654898145868
192.168.29.8,5.277050733566284,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,7.539854464066155,1514,1460,6.645698070526123,227.81654898145868
192.168.29.8,5.277050733566284,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,7.448154679506351,1514,1460,6.645698070526123,227.81654898145868
192.168.29.8,5.277050733566284,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,7.618191759126468,1514,1460,6.645698070526123,227.81654898145868
192.168.29.8,5.278963565826416,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,7.45943149501598,1514,1460,6.647610902786255,227.75099537871984
192.168.29.8,5.278963565826416,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,7.560628122515389,1514,1460,6.647610902786255,227.75099537871984
192.168.29.8,5.278963565826416,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,7.480464233851998,1514,1460,6.647610902786255,227.75099537871984
192.168.29.8,5.278963565826416,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,7.535863910629205,1514,1460,6.647610902786255,227.75099537871984
192.168.29.8,5.278963565826416,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,7.528168990985008,1514,1460,6.647610902786255,227.75099537871984
