SRC IP,Arrival Time,ARP,LLC,EAPOL,IP,ICMP,ICMP6,TCP,UDP,TCP_w_size,HTTP,HTTPS,DHCP,BOOTP,SSDP,DNS,MDNS,NTP,FTP,IP_padding,IP_ralert,Portcl_src,Portcl_dst,Pck_size,Pck_rawdata,Entropy,Flow Volume,Flow Per Second,Flow Duration,Average Flow Rate
192.168.29.8,8.343480110168457,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,1,0,0,3,1,52,0,0,66,0,43.09785795211792,1.5313986155257775
192.168.29.8,8.347286224365234,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,1,0,0,3,1,40,0,0,54,0,43.1016640663147,1.2528518601258065
192.168.29.8,8.351203203201294,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,1,0,0,3,1,55,1,3.773557262275185,69,15,43.10558104515076,1.6007207959388425
192.168.29.8,8.355126142501831,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,1,0,0,3,1,55,1,3.6402239289418516,69,15,43.109503984451294,1.6005751312955694
192.168.29.8,8.391825199127197,0,0,0,1,0,0,1,0,512,0,0,0,0,0,0,0,0,1,0,0,3,1,48,1,3.0,62,8,43.14620304107666,1.4369746496806193
192.168.29.8,8.397186040878296,0,0,0,1,0,0,1,0,512,0,0,0,0,0,0,0,0,1,0,0,3,1,46,1,2.584962500721156,60,6,43.15156388282776,1.3904478679595922
192.168.29.8,8.403771162033081,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,0,3,3,52,0,0,66,0,43.158149003982544,1.529259282966692
192.168.29.8,8.406722068786621,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,40,0,0,54,0,43.161099910736084,1.2511265957466435
192.168.29.8,8.40713906288147,0,0,0,1,0,0,1,0,512,0,0,0,0,0,0,0,0,1,0,0,3,1,58,1,4.169925001442313,72,18,43.16151690483093,1.6681526777373588
192.168.29.8,8.413715124130249,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,7.300334820133767,1514,1460,43.16809296607971,35.07220022875829
192.168.29.8,8.41398811340332,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,7.386531558655045,1514,1460,43.16836595535278,35.07197843823568
192.168.29.8,8.41398811340332,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,7.3044235910732285,1514,1460,43.16836595535278,35.07197843823568
192.168.29.8,8.41398811340332,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,7.219558960131756,1514,1460,43.16836595535278,35.07197843823568
192.168.29.8,8.41398811340332,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,7.386303483562481,1514,1460,43.16836595535278,35.07197843823568
192.168.29.8,8.41398811340332,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,932,1,7.16319253664059,946,892,43.16836595535278,21.914195246083853
192.168.29.8,8.41398811340332,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,7.242015891642196,1514,1460,43.16836595535278,35.07197843823568
192.168.29.8,8.41398811340332,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,7.39329030517706,1514,1460,43.16836595535278,35.07197843823568
192.168.29.8,8.41398811340332,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,7.242750643318188,1514,1460,43.16836595535278,35.07197843823568
192.168.29.8,8.41398811340332,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,7.289441855723626,1514,1460,43.16836595535278,35.07197843823568
192.168.29.8,8.419294118881226,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,7.285607230790499,1514,1460,43.17367196083069,35.0676681236096
192.168.29.8,8.419294118881226,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,7.406437540244625,1514,1460,43.17367196083069,35.0676681236096
192.168.29.8,8.419294118881226,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,7.434726522512153,1514,1460,43.17367196083069,35.0676681236096
192.168.29.8,8.41968321800232,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,7.320664029940007,1514,1460,43.17406105995178,35.06735208202095
192.168.29.8,8.41968321800232,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,7.289789600471694,1514,1460,43.17406105995178,35.06735208202095
192.168.29.8,8.41968321800232,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,7.320452276666709,1514,1460,43.17406105995178,35.06735208202095
192.168.29.8,8.41968321800232,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,7.471884378349972,1514,1460,43.17406105995178,35.06735208202095
192.168.29.8,8.419944047927856,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,7.367411699296001,1514,1460,43.17432188987732,35.06714022890012
192.168.29.8,8.420928239822388,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,7.252663439654487,1514,1460,43.17530608177185,35.06634086467298
192.168.29.8,8.420928239822388,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,7.269983060961695,1514,1460,43.17530608177185,35.06634086467298
192.168.29.8,8.420928239822388,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,7.212578424263601,1514,1460,43.17530608177185,35.06634086467298
192.168.29.8,8.420928239822388,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,7.195771854190198,1514,1460,43.17530608177185,35.06634086467298
192.168.29.8,8.420928239822388,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,7.252553314398011,1514,1460,43.17530608177185,35.06634086467298
