SRC IP,Arrival Time,ARP,LLC,EAPOL,IP,ICMP,ICMP6,TCP,UDP,TCP_w_size,HTTP,HTTPS,DHCP,BOOTP,SSDP,DNS,MDNS,NTP,IP_padding,IP_ralert,Portcl_src,Portcl_dst,Pck_size,Pck_rawdata,Entropy,Flow Volume,Flow Per Second,Flow Duration,Average Flow Rate
192.168.29.8,5.269957065582275,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,37,1,2.6416041678685933,54,0,21.075977087020874,2.562158792308357
192.168.29.8,7.11406397819519,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,37,1,2.6416041678685933,54,0,21.075977087020874,2.562158792308357
192.168.29.8,9.161193132400513,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,43,1,3.139572261986723,66,0,27.570453882217407,2.393867010022971
192.168.29.8,11.21074104309082,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,37,1,2.6416041678685933,66,0,27.570453882217407,2.393867010022971
192.168.29.8,13.155499935150146,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,37,1,2.6416041678685933,55,1,31.754836082458496,1.7320196475642406
192.168.29.8,15.309827089309692,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,37,1,2.6416041678685933,66,0,32.89409899711609,2.006438905828866
192.168.29.8,17.148826122283936,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,37,1,2.6416041678685933,66,0,32.89409899711609,2.006438905828866
192.168.29.8,19.19631600379944,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,37,1,2.6416041678685933,55,1,36.46807408332825,1.508168483872413
192.168.29.8,21.24452304840088,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,37,1,2.6416041678685933,55,1,36.46807408332825,1.508168483872413
192.168.29.8,23.19005799293518,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,37,1,2.6416041678685933,56,2,41.4359130859375,1.3514846380688363
192.168.29.8,25.13835906982422,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,43,1,3.139572261986723,66,0,42.46478009223938,1.5542291719547086
192.168.29.8,27.1835720539093,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,37,1,2.6416041678685933,54,0,45.59960699081421,1.1842207326672356
192.168.29.8,29.231508016586304,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,37,1,2.6416041678685933,54,0,47.68803906440735,1.1323594146336722
192.168.29.8,31.279645919799805,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,43,1,3.139572261986723,54,0,47.68803906440735,1.1323594146336722
192.168.29.8,33.32787108421326,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,37,1,2.6416041678685933,54,0,51.162363052368164,1.0554633675682126
192.168.29.8,35.17072796821594,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,37,1,2.6416041678685933,54,0,51.162363052368164,1.0554633675682126
192.168.29.8,37.21877193450928,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,37,1,2.6416041678685933,54,0,51.162363052368164,1.0554633675682126
192.168.29.8,39.2667601108551,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,43,1,3.139572261986723,54,0,57.044732093811035,0.9466255343472572
192.168.29.8,41.314736127853394,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,43,1,3.139572261986723,54,0,57.044732093811035,0.9466255343472572
192.168.29.8,43.15815210342407,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,43,1,3.139572261986723,54,0,1.201740026473999,44.93484348560837
192.168.29.8,45.20610308647156,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,37,1,2.6416041678685933,54,0,2.8437440395355225,18.989050789824244
192.168.29.8,47.25407695770264,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,43,1,3.139572261986723,66,0,4.887001037597656,13.505215057708309
192.168.29.8,49.19972109794617,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,43,1,3.139572261986723,56,2,6.933305025100708,8.076956054473687
192.168.29.8,51.350327014923096,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,43,1,3.139572261986723,56,2,6.933305025100708,8.076956054473687
192.168.29.8,53.19322896003723,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,43,1,3.139572261986723,54,0,11.228705883026123,4.80910271963122
192.168.29.8,55.24112105369568,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,43,1,3.139572261986723,66,0,12.586292028427124,5.243800147885799
192.168.29.8,57.289149045944214,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,43,1,3.139572261986723,55,1,15.903482913970947,3.4583619385463926
192.168.29.8,59.18475794792175,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,43,1,3.139572261986723,54,0,17.9936261177063,3.001062690019011
192.168.29.8,61.2829270362854,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,37,1,2.6416041678685933,54,0,17.9936261177063,3.001062690019011
192.168.29.8,63.2302041053772,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,43,1,3.139572261986723,55,1,21.472940921783447,2.5613631686661367
192.168.29.8,65.27637696266174,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,37,1,2.6416041678685933,55,1,21.472940921783447,2.5613631686661367
192.168.29.8,67.22212100028992,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,43,1,3.139572261986723,55,1,21.472940921783447,2.5613631686661367
192.168.29.8,69.26990795135498,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,43,1,3.139572261986723,66,0,27.72082805633545,2.3808812588813
192.168.29.8,71.21734690666199,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,37,1,2.6416041678685933,56,2,29.256644010543823,1.9140951361276475
192.168.29.8,73.26459002494812,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,37,1,2.6416041678685933,54,0,31.304402112960815,1.7249970085722426
