SRC IP,Arrival Time,ARP,LLC,EAPOL,IP,ICMP,ICMP6,TCP,UDP,TCP_w_size,HTTP,HTTPS,DHCP,BOOTP,SSDP,DNS,MDNS,NTP,FTP,IP_padding,IP_ralert,Portcl_src,Portcl_dst,Pck_size,Pck_rawdata,Entropy,Flow Volume,Flow Per Second,Flow Duration,Average Flow Rate
192.168.29.8,7.972137212753296,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,1,0,0,3,1,52,0,0,66,0,44.16316890716553,1.494457975575467
192.168.29.8,7.979816198348999,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,1,0,0,3,1,40,0,0,54,0,44.17084789276123,1.222525773811319
192.168.29.8,7.984124422073364,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,1,0,0,3,1,55,1,3.773557262275185,69,15,44.175156116485596,1.5619639196758852
192.168.29.8,7.990505218505859,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,1,0,0,3,1,55,1,3.6402239289418516,69,15,44.18153691291809,1.561738337351169
192.168.29.8,8.030630350112915,0,0,0,1,0,0,1,0,512,0,0,0,0,0,0,0,0,1,0,0,3,1,48,1,3.0,62,8,44.22166204452515,1.4020278102070092
192.168.29.8,8.036810398101807,0,0,0,1,0,0,1,0,512,0,0,0,0,0,0,0,0,1,0,0,3,1,46,1,2.584962500721156,60,6,44.22784209251404,1.3566115180228415
192.168.29.8,8.040772199630737,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,0,3,3,52,0,0,66,0,44.23180389404297,1.49213900835025
192.168.29.8,8.0441312789917,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,40,0,0,54,0,44.23516297340393,1.2207482999998691
192.168.29.8,8.0441312789917,0,0,0,1,0,0,1,0,512,0,0,0,0,0,0,0,0,1,0,0,3,1,58,1,4.169925001442313,72,18,44.23516297340393,1.6276643999998253
192.168.29.8,8.052011251449585,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,7.300334820133767,1514,1460,44.243042945861816,34.2200693983145
192.168.29.8,8.052664279937744,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,7.386531558655045,1514,1460,44.243695974349976,34.21956431663694
192.168.29.8,8.052664279937744,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,7.3044235910732285,1514,1460,44.243695974349976,34.21956431663694
192.168.29.8,8.052664279937744,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,7.219558960131756,1514,1460,44.243695974349976,34.21956431663694
192.168.29.8,8.052664279937744,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,7.386303483562481,1514,1460,44.243695974349976,34.21956431663694
192.168.29.8,8.052664279937744,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,932,1,7.16319253664059,946,892,44.243695974349976,21.38157717538874
192.168.29.8,8.052664279937744,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,7.242015891642196,1514,1460,44.243695974349976,34.21956431663694
192.168.29.8,8.052664279937744,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,7.39329030517706,1514,1460,44.243695974349976,34.21956431663694
192.168.29.8,8.052664279937744,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,7.242750643318188,1514,1460,44.243695974349976,34.21956431663694
192.168.29.8,8.052664279937744,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,7.289441855723626,1514,1460,44.243695974349976,34.21956431663694
192.168.29.8,8.05539321899414,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,7.285607230790499,1514,1460,44.24642491340637,34.21745379345367
192.168.29.8,8.057168245315552,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,7.406437540244625,1514,1460,44.24819993972778,34.216081152731164
192.168.29.8,8.057168245315552,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,7.434726522512153,1514,1460,44.24819993972778,34.216081152731164
192.168.29.8,8.057168245315552,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,7.320664029940007,1514,1460,44.24819993972778,34.216081152731164
192.168.29.8,8.057168245315552,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,7.289789600471694,1514,1460,44.24819993972778,34.216081152731164
192.168.29.8,8.057168245315552,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,7.320452276666709,1514,1460,44.24819993972778,34.216081152731164
192.168.29.8,8.057168245315552,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,7.471884378349972,1514,1460,44.24819993972778,34.216081152731164
192.168.29.8,8.057168245315552,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,7.367411699296001,1514,1460,44.24819993972778,34.216081152731164
192.168.29.8,8.057168245315552,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,7.252663439654487,1514,1460,44.24819993972778,34.216081152731164
192.168.29.8,8.057168245315552,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,3,1500,1,7.269983060961695,1514,1460,44.24819993972778,34.216081152731164
