SRC IP,Arrival Time,ARP,LLC,EAPOL,IP,ICMP,ICMP6,TCP,UDP,TCP_w_size,HTTP,HTTPS,DHCP,BOOTP,SSDP,DNS,MDNS,NTP,IP_padding,IP_ralert,Portcl_src,Portcl_dst,Pck_size,Pck_rawdata,Entropy,Flow Volume,Flow Per Second,Flow Duration,Average Flow Rate
192.168.29.8,55.02342629432678,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,50.8703830242157,1.2974150394853954
192.168.29.8,55.0307092666626,0,0,0,1,0,0,1,0,256,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,50.877665996551514,1.0613694426088673
192.168.29.8,55.0307092666626,0,0,0,1,0,0,1,0,256,0,0,0,0,0,0,0,0,0,0,3,2,99,1,4.617741515750132,113,59,50.877665996551514,2.2210138336074445
192.168.29.8,55.0310583114624,0,0,0,1,0,0,1,0,256,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,50.87801504135132,1.0613621611635453
192.168.29.8,55.03884434700012,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,50.88580107688904,1.0611997621577258
192.168.29.8,60.14522933959961,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,55.992186069488525,1.1787359028649351
192.168.29.8,60.15056228637695,0,0,0,1,0,0,1,0,256,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,55.99751901626587,0.9643284371994116
192.168.29.8,60.152480363845825,0,0,0,1,0,0,1,0,256,0,0,0,0,0,0,0,0,0,0,3,2,98,1,4.640236331626008,112,58,55.99943709373474,2.000020103997271
192.168.29.8,60.152732372283936,0,0,0,1,0,0,1,0,256,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,55.99968910217285,0.9642910677856734
192.168.29.8,60.16111922264099,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,56.00807595252991,0.9641466713794655
192.168.29.8,65.1686692237854,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,1.0156259536743164,64.98455436396263
192.168.29.8,65.17648315429688,0,0,0,1,0,0,1,0,256,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,1.023439884185791,52.76323586212423
192.168.29.8,65.17728018760681,0,0,0,1,0,0,1,0,256,0,0,0,0,0,0,0,0,0,0,3,2,98,1,4.635673184962382,112,58,1.0242369174957275,109.34970033480285
192.168.29.8,65.1775062084198,0,0,0,1,0,0,1,0,256,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,1.0244629383087158,52.710545184922466
192.168.29.8,65.18658423423767,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,1.033540964126587,52.24756625455451
192.168.29.8,70.21742630004883,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,6.064383029937744,10.883217579460435
192.168.29.8,70.2276713848114,0,0,0,1,0,0,1,0,256,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,6.074628114700317,8.889433061642492
192.168.29.8,70.2276713848114,0,0,0,1,0,0,1,0,256,0,0,0,0,0,0,0,0,0,0,3,2,97,1,4.589138207329986,111,57,6.074628114700317,18.272723515598454
192.168.29.8,70.2276713848114,0,0,0,1,0,0,1,0,256,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,6.074628114700317,8.889433061642492
192.168.29.8,70.23845028877258,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,6.085407018661499,8.873687468135442
192.168.29.8,75.29858231544495,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,11.145539045333862,5.921651678895804
192.168.29.8,75.30262732505798,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,11.1495840549469,4.843230001574904
192.168.29.8,75.30297231674194,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,3,2,99,1,4.56273960900714,113,59,11.14992904663086,10.13459363978149
192.168.29.8,75.30504322052002,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,11.151999950408936,4.842180796281286
192.168.29.8,75.31511425971985,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,11.162070989608765,4.8378119123477035
192.168.29.8,80.41855430603027,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,16.26551103591919,4.057665317385476
192.168.29.8,80.42310833930969,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,16.27006506919861,3.3189787361225225
192.168.29.8,80.42348527908325,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,3,2,99,1,4.685538125919624,113,59,16.270442008972168,6.945109416061795
192.168.29.8,80.42398023605347,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,16.270936965942383,3.3188008848556447
192.168.29.8,80.43689036369324,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,16.283847093582153,3.316169679662656
192.168.29.8,85.5385422706604,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,21.385499000549316,3.086203412803447
192.168.29.8,85.54329419136047,0,0,0,1,0,0,1,0,256,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,21.39025092124939,2.5245145650140834
192.168.29.8,85.54360938072205,0,0,0,1,0,0,1,0,256,0,0,0,0,0,0,0,0,0,0,3,2,99,1,4.490457193642897,113,59,21.390566110610962,5.282702637025835
192.168.29.8,85.54472136497498,0,0,0,1,0,0,1,0,256,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,21.39167809486389,2.5243461387428656
192.168.29.8,85.55315732955933,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,21.400114059448242,2.523351036821169
192.168.29.8,90.65974426269531,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,26.50670099258423,2.489936413379575
192.168.29.8,90.66740536689758,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,26.5143620967865,2.03663206389358
192.168.29.8,90.66995620727539,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,3,2,98,1,4.592738271243881,112,58,26.516912937164307,4.223719415054095
192.168.29.8,90.67243719100952,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,26.519393920898438,2.0362456306908903
192.168.29.8,90.68385028839111,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,26.53080701828003,2.035369672803145
