SRC IP,Arrival Time,ARP,LLC,EAPOL,IP,ICMP,ICMP6,TCP,UDP,TCP_w_size,HTTP,HTTPS,DHCP,BOOTP,SSDP,DNS,MDNS,NTP,IP_padding,IP_ralert,Portcl_src,Portcl_dst,Pck_size,Pck_rawdata,Entropy,Flow Volume,Flow Per Second,Flow Duration,Average Flow Rate
192.168.29.8,12.50393795967102,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,43.161438941955566,1.5291427166911238
192.168.29.8,12.51498293876648,0,0,0,1,0,0,1,0,256,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,43.172483921051025,1.250796690288868
192.168.29.8,12.515316009521484,0,0,0,1,0,0,1,0,256,0,0,0,0,0,0,0,0,0,0,3,2,54,1,3.09306920777189,68,14,43.17281699180603,1.5750651622502658
192.168.29.8,12.5154709815979,0,0,0,1,0,0,1,0,256,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,43.172971963882446,1.2507825508323867
192.168.29.8,12.532158136367798,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,43.189659118652344,1.250299286957766
192.168.29.8,18.541918992996216,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,49.19941997528076,1.3414792294941758
192.168.29.8,18.550880908966064,0,0,0,1,0,0,1,0,256,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,49.20838189125061,1.0973740229731341
192.168.29.8,18.551337957382202,0,0,0,1,0,0,1,0,256,0,0,0,0,0,0,0,0,0,0,3,2,48,1,2.75,62,8,49.20883893966675,1.259936249989886
192.168.29.8,18.551337957382202,0,0,0,1,0,0,1,0,256,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,49.20883893966675,1.0973638306363522
192.168.29.8,18.565514087677002,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,49.22301506996155,1.097047792038924
192.168.29.8,24.68008804321289,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,55.33758902549744,1.1926793552496429
192.168.29.8,24.699161052703857,0,0,0,1,0,0,1,0,256,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,55.3566620349884,0.9754923439182276
192.168.29.8,24.700350999832153,0,0,0,1,0,0,1,0,256,0,0,0,0,0,0,0,0,0,0,3,2,54,1,3.09306920777189,68,14,55.3578519821167,1.2283713613376352
192.168.29.8,24.70080590248108,0,0,0,1,0,0,1,0,256,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,55.358306884765625,0.9754633593185376
192.168.29.8,24.716520071029663,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,55.37402105331421,0.9751865400565493
192.168.29.8,30.82260799407959,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,1.4801089763641357,44.5913112169132
192.168.29.8,30.826208114624023,0,0,0,1,0,0,1,0,256,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,1.4837090969085693,36.39527459426748
192.168.29.8,30.827878952026367,0,0,0,1,0,0,1,0,256,0,0,0,0,0,0,0,0,0,0,3,2,54,1,3.09306920777189,68,14,1.485379934310913,45.77953318828565
192.168.29.8,30.828663110733032,0,0,0,1,0,0,1,0,256,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,1.4861640930175781,36.33515319991068
192.168.29.8,30.83703112602234,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,1.4945321083068848,36.13170951621451
192.168.29.8,36.967402935028076,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,7.624903917312622,8.655846777314085
192.168.29.8,36.97140312194824,0,0,0,1,0,0,1,0,256,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,7.628904104232788,7.078343004736273
192.168.29.8,36.972079038619995,0,0,0,1,0,0,1,0,256,0,0,0,0,0,0,0,0,0,0,3,2,48,1,2.75,62,8,7.629580020904541,8.126266430147417
192.168.29.8,36.973031997680664,0,0,0,1,0,0,1,0,256,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,7.63053297996521,7.076832003974407
192.168.29.8,36.98098301887512,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,7.638484001159668,7.06946561540245
192.168.29.8,42.97487711906433,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,13.632378101348877,4.841415012797329
192.168.29.8,42.97833490371704,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,13.635835886001587,3.96015326463674
192.168.29.8,42.97877311706543,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,3,2,54,1,3.09306920777189,68,14,13.636274099349976,4.986699409572698
192.168.29.8,42.979429960250854,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,13.6369309425354,3.95983526114126
192.168.29.8,42.98707604408264,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,13.644577026367188,3.957616267301565
192.168.29.8,49.04999804496765,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,19.707499027252197,3.348978980475045
192.168.29.8,49.054502964019775,0,0,0,1,0,0,1,0,256,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,19.71200394630432,2.7394475035159536
192.168.29.8,49.0549430847168,0,0,0,1,0,0,1,0,256,0,0,0,0,0,0,0,0,0,0,3,2,54,1,3.09306920777189,68,14,19.712444067001343,3.4495976130038635
192.168.29.8,49.05599594116211,0,0,0,1,0,0,1,0,256,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,19.713496923446655,2.7392400348704236
192.168.29.8,49.06448197364807,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,19.721982955932617,2.7380613866597088
192.168.29.8,55.19489097595215,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,25.852391958236694,2.5529552587095172
192.168.29.8,55.19987201690674,0,0,0,1,0,0,1,0,256,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,25.857372999191284,2.0883792023918635
192.168.29.8,55.20025897026062,0,0,0,1,0,0,1,0,256,0,0,0,0,0,0,0,0,0,0,3,2,54,1,3.09306920777189,68,14,25.857759952545166,2.6297714931531333
192.168.29.8,55.200828075408936,0,0,0,1,0,0,1,0,256,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,25.85832905769348,2.0883019888686
192.168.29.8,55.210707902908325,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,25.86820888519287,2.087504405104365
192.168.29.8,61.23520612716675,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,31.892707109451294,2.0694386266269986
192.168.29.8,61.23842692375183,0,0,0,1,0,0,1,0,256,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,31.895927906036377,1.693006084007996
192.168.29.8,61.23901891708374,0,0,0,1,0,0,1,0,256,0,0,0,0,0,0,0,0,0,0,3,2,54,1,3.09306920777189,68,14,31.896519899368286,2.1318940189881577
