SRC IP,Arrival Time,ARP,LLC,EAPOL,IP,ICMP,ICMP6,TCP,UDP,TCP_w_size,HTTP,HTTPS,DHCP,BOOTP,SSDP,DNS,MDNS,NTP,FTP,IP_padding,IP_ralert,Portcl_src,Portcl_dst,Pck_size,Pck_rawdata,Entropy,Flow Volume,Flow Per Second,Flow Duration,Average Flow Rate
192.168.29.8,9.934613704681396,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,44.60464310646057,1.4796665863343834
192.168.29.8,9.95174264907837,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,44.621772050857544,1.2101715713677539
192.168.29.8,9.953163623809814,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,2,106,1,4.451083278508887,120,66,44.62319302558899,2.689184521851372
192.168.29.8,9.953735589981079,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,44.623764991760254,1.2101175239241033
192.168.29.8,9.966631650924683,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,44.63666105270386,1.2097679066147122
192.168.29.8,17.103346586227417,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,51.77337598800659,1.2747864851480621
192.168.29.8,17.12296462059021,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,51.792994022369385,1.0426120563077974
192.168.29.8,17.12330150604248,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,2,107,1,4.608020765506862,121,67,51.793330907821655,2.336208115584375
192.168.29.8,17.124009609222412,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,51.79403901100159,1.0425910207259534
192.168.29.8,17.13095450401306,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,51.800983905792236,1.0424512418182443
192.168.29.8,24.16813349723816,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,58.838162899017334,1.1217209502831413
192.168.29.8,24.172844648361206,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,58.84287405014038,0.9176982068208678
192.168.29.8,24.17307448387146,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,2,105,1,4.585045936640446,119,65,58.843103885650635,2.0223270382074308
192.168.29.8,24.173396587371826,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,58.843425989151,0.9176895990039059
192.168.29.8,24.179571628570557,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,58.84960103034973,0.9175933065740121
192.168.29.8,31.175983667373657,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,5.846013069152832,11.28974554440473
192.168.29.8,31.185685634613037,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,5.855715036392212,9.221760223029937
192.168.29.8,31.186315536499023,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,2,106,1,4.610618505978294,120,66,5.856344938278198,20.490596313010336
192.168.29.8,31.18644070625305,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,5.856470108032227,9.220571266288593
192.168.29.8,31.20396661758423,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,5.873996019363403,9.193060366740301
192.168.29.8,38.19808554649353,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,12.868114948272705,5.128956359599447
192.168.29.8,38.20361256599426,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,12.873641967773438,4.194617198084123
192.168.29.8,38.204012632369995,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,2,106,1,4.5627206353914715,120,66,12.87404203414917,9.32108188568072
192.168.29.8,38.20508360862732,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,12.875113010406494,4.1941379432051376
192.168.29.8,38.21298551559448,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,12.883014917373657,4.191565432962216
192.168.29.8,45.26220965385437,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,19.932239055633545,3.3112185648478913
192.168.29.8,45.269317626953125,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,19.9393470287323,2.7082130584410216
192.168.29.8,45.26963257789612,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,2,105,1,4.543306805529721,119,65,19.939661979675293,5.9680048799873315
192.168.29.8,45.27051758766174,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,19.940546989440918,2.708050086519418
192.168.29.8,45.284706592559814,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,19.95473599433899,2.706124501738304
192.168.29.8,52.32813262939453,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,26.998162031173706,2.4446108562424516
192.168.29.8,52.344884634017944,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,27.01491403579712,1.9988958664997152
192.168.29.8,52.346293687820435,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,2,105,1,4.593231613188745,119,65,27.01632308959961,4.404744480044032
192.168.29.8,52.346293687820435,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,27.01632308959961,1.99879161279309
192.168.29.8,52.35503959655762,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,27.025068998336792,1.9981447597163704
192.168.29.8,59.3940327167511,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,34.06406211853027,1.9375258232663073
192.168.29.8,59.39884853363037,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,34.068877935409546,1.585024317571522
192.168.29.8,59.39958071708679,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,2,104,1,4.566024413893479,118,64,34.06961011886597,3.4634972219613918
192.168.29.8,59.40357756614685,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,34.073606967926025,1.5848043340651012
192.168.29.8,59.40996170043945,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,34.07999110221863,1.5845074559448629
192.168.29.8,66.45951652526855,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,41.12954592704773,1.6046858410998623
192.168.29.8,66.46346259117126,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,41.13349199295044,1.312798826057721
192.168.29.8,66.46572256088257,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,2,105,1,4.60330887522034,119,65,41.13575196266174,2.892860694706988
192.168.29.8,66.46572256088257,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,41.13575196266174,1.3127267017998097
192.168.29.8,66.47604966163635,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,41.14607906341553,1.3123972254263556
192.168.29.8,73.62738156318665,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,48.29741096496582,1.366532877877768
