SRC IP,Arrival Time,ARP,LLC,EAPOL,IP,ICMP,ICMP6,TCP,UDP,TCP_w_size,HTTP,HTTPS,DHCP,BOOTP,SSDP,DNS,MDNS,NTP,IP_padding,IP_ralert,Portcl_src,Portcl_dst,Pck_size,Pck_rawdata,Entropy,Flow Volume,Flow Per Second,Flow Duration,Average Flow Rate
192.168.29.8,0.26112961769104004,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,48.03272294998169,1.374063262428997
192.168.29.8,0.2687985897064209,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,48.04039192199707,1.1240541102928452
192.168.29.8,0.2687985897064209,0,0,0,1,0,0,1,0,513,1,0,0,0,0,0,0,0,0,0,3,2,242,0,0,256,202,48.04039192199707,5.3288491154623765
192.168.29.8,0.2687985897064209,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,3,2,107,1,4.375665593947603,121,67,48.04039192199707,2.518713839730264
192.168.29.8,0.27393460273742676,0,0,0,1,0,0,1,0,512,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,60,6,48.045527935028076,1.2488155001884451
192.168.29.8,0.2754175662994385,0,0,0,1,0,0,1,0,512,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,48.04701089859009,1.1238992601220195
192.168.29.8,3.3056817054748535,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,51.0772750377655,1.2921597706847308
192.168.29.8,3.3112387657165527,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,51.0828320980072,1.0571066204081234
192.168.29.8,3.3112387657165527,0,0,0,1,0,0,1,0,513,1,0,0,0,0,0,0,0,0,0,3,2,242,0,0,256,202,51.0828320980072,5.011468422675548
192.168.29.8,3.3112387657165527,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,3,2,107,1,4.461267646089537,121,67,51.0828320980072,2.3687018716552393
192.168.29.8,3.319624662399292,0,0,0,1,0,0,1,0,512,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,60,6,51.09121799468994,1.1743701237703117
192.168.29.8,3.319624662399292,0,0,0,1,0,0,1,0,512,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,51.09121799468994,1.0569331113932805
192.168.29.8,6.325678586959839,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,54.09727191925049,1.2200245531515228
