SRC IP,Arrival Time,ARP,LLC,EAPOL,IP,ICMP,ICMP6,TCP,UDP,TCP_w_size,HTTP,HTTPS,DHCP,BOOTP,SSDP,DNS,MDNS,NTP,IP_padding,IP_ralert,Portcl_src,Portcl_dst,Pck_size,Pck_rawdata,Entropy,Flow Volume,Flow Per Second,Flow Duration,Average Flow Rate
192.168.29.8,3.7850141525268555,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,84,1,4.357010619399148,56,2,32.590203046798706,1.7183077969654077
192.168.29.8,7.676046133041382,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,84,1,4.360577243331644,56,2,32.590203046798706,1.7183077969654077
192.168.29.8,11.777067184448242,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,83,1,4.4519157957289535,56,2,32.590203046798706,1.7183077969654077
192.168.29.8,15.664348125457764,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,84,1,4.376301966925148,56,2,47.130467891693115,1.1881910472157686
192.168.29.8,19.760650157928467,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,84,1,4.25211235188259,56,2,47.130467891693115,1.1881910472157686
192.168.29.8,23.650225162506104,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,83,1,4.374376477429128,56,2,47.130467891693115,1.1881910472157686
192.168.29.8,27.746984243392944,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,84,1,4.380280869184505,56,2,47.130467891693115,1.1881910472157686
192.168.29.8,31.63750910758972,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,84,1,4.338057155316643,66,0,0.36720705032348633,179.735111136505
192.168.29.8,35.73354721069336,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,84,1,4.323540923311162,66,0,4.498533010482788,14.671449525034562
192.168.29.8,39.829448223114014,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,84,1,4.360291307063724,54,0,10.121745109558105,5.335048394866913
192.168.29.8,43.69798016548157,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,82,1,4.3430572992462935,55,1,15.366947889328003,3.5791102043234138
192.168.29.8,47.63983130455017,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,84,1,4.452456654541048,66,0,15.374742984771729,4.292754686395163
192.168.29.8,51.70796728134155,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,83,1,4.379658187528279,66,0,15.374742984771729,4.292754686395163
192.168.29.8,55.66003918647766,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,84,1,4.365764637179024,66,0,15.374742984771729,4.292754686395163
192.168.29.8,59.695584297180176,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,85,1,4.475274610914668,54,0,31.03538489341736,1.7399494217793143
192.168.29.8,63.79116129875183,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,82,1,4.381168808323024,54,0,31.03538489341736,1.7399494217793143
192.168.29.8,67.66007828712463,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,84,1,4.365764637179025,54,0,31.03538489341736,1.7399494217793143
192.168.29.8,71.77819609642029,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,83,1,4.378897387892526,54,0,31.03538489341736,1.7399494217793143
192.168.29.8,75.67040419578552,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,82,1,4.418980733877958,56,2,45.600805044174194,1.2280484948840693
192.168.29.8,79.69403219223022,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,83,1,4.394438351024769,54,0,50.26260304450989,1.074357409467641
192.168.29.8,83.65658330917358,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,83,1,4.454201196075732,54,0,50.26260304450989,1.074357409467641
192.168.29.8,87.7527232170105,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,82,1,4.397772455586725,66,0,58.81021189689636,1.122254075800789
192.168.29.8,91.6438102722168,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,83,1,4.447103750156401,66,0,0.4205191135406494,156.94887075238762
192.168.29.8,95.73981213569641,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,83,1,4.381004258821861,66,0,0.4205191135406494,156.94887075238762
192.168.29.8,99.63647532463074,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,84,1,4.425496386606638,54,0,11.210294961929321,4.817000817854168
192.168.29.8,103.72712731361389,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,84,1,4.409485726745214,54,0,11.210294961929321,4.817000817854168
192.168.29.8,107.82309126853943,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,84,1,4.387251574998134,54,0,16.04676604270935,3.3651640371820735
192.168.29.8,111.71422028541565,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,84,1,4.409485726745214,54,0,16.04676604270935,3.3651640371820735
192.168.29.8,115.65875220298767,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,83,1,4.474554204780527,54,0,16.04676604270935,3.3651640371820735
192.168.29.8,119.69113326072693,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,82,1,4.394073734471544,78,24,31.36003303527832,2.4872422778462724
192.168.29.8,123.64534020423889,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,85,1,4.396951918867121,54,0,35.29797601699829,1.529832757946106
192.168.29.8,127.64628720283508,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,85,1,4.338551910836079,54,0,38.02322602272034,1.420184598953622
192.168.29.8,131.67247319221497,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,82,1,4.416356484802472,54,0,42.892374992370605,1.2589650260589473
192.168.29.8,135.67938327789307,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,83,1,4.474554204780527,54,0,47.14307188987732,1.145449327658154
192.168.29.8,139.67000532150269,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,84,1,4.403262234859558,54,0,49.38078498840332,1.0935427618795746
192.168.29.8,143.66280031204224,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,83,1,4.357019778476706,54,0,55.23435401916504,0.97765242228167
192.168.29.8,147.657457113266,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,85,1,4.430852348184151,54,0,55.23435401916504,0.97765242228167
192.168.29.8,151.66575717926025,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,82,1,4.371016095622719,54,0,1.0541629791259766,51.225475632593614
