SRC IP,ARP,LLC,EAPOL,IP,ICMP,ICMP6,TCP,UDP,TCP_w_size,HTTP,HTTPS,DHCP,BOOTP,SSDP,DNS,MDNS,NTP,IP_padding,IP_ralert,Portcl_src,Portcl_dst,Pck_size,Pck_rawdata,Entropy,Flow Volume,Flow Per Second,Flow Duration,Average Flow Rate
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192.168.29.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,1,2.292481250360578,0,0,0,0
192.168.29.55,0,0,0,1,0,0,1,0,512,0,1,0,0,0,0,0,0,0,0,0,0,41,1,-0.0,55,1,46.79957103729248,1.1752244471679658
192.168.29.55,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,1,2.554945131143149,55,1,46.79957103729248,1.1752244471679658
20.189.173.12,0,0,0,1,0,0,1,0,16381,0,1,0,0,0,0,0,0,0,0,0,0,147,1,6.215629019050763,161,107,47.18744397163391,3.411924580970797
192.168.29.55,0,0,0,1,0,0,1,0,512,0,1,0,0,0,0,0,0,0,0,0,0,82,1,4.7256507561120955,96,42,47.18895411491394,2.0343743954617435
20.189.173.12,0,0,0,1,0,0,1,0,16381,0,1,0,0,0,0,0,0,0,0,0,0,40,0,0,56,2,47.597119092941284,1.1765417963774383
142.250.192.106,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,471,1,7.52922679379613,56,2,47.597119092941284,1.1765417963774383
192.168.29.55,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,61,1,4.9837880587523955,56,2,47.597119092941284,1.1765417963774383
192.168.29.55,0,0,0,1,0,0,1,0,512,0,1,0,0,0,0,0,0,0,0,0,0,98,1,5.2587587968144085,112,58,47.87007689476013,2.339666181155843
20.89.134.221,0,0,0,1,0,0,1,0,2051,0,1,0,0,0,0,0,0,0,0,0,0,87,1,4.772569968652884,101,47,48.006717920303345,2.1038722157109673
192.168.29.55,0,0,0,1,0,0,1,0,512,0,1,0,0,0,0,0,0,0,0,0,0,40,0,0,54,0,48.05955195426941,1.123605980583905
192.168.29.55,0,0,0,1,0,0,1,0,512,0,1,0,0,0,0,0,0,0,0,0,0,165,1,6.373471484523636,179,125,48.32997107505798,3.7037059203285536
192.168.29.55,0,0,0,1,0,0,1,0,512,0,1,0,0,0,0,0,0,0,0,0,0,2385,1,7.927526422625528,2399,2345,48.33004903793335,49.63785569754067
20.189.173.12,0,0,0,1,0,0,1,0,16385,0,1,0,0,0,0,0,0,0,0,0,0,40,0,0,56,2,48.62091588973999,1.1517676904111374
20.189.173.12,0,0,0,1,0,0,1,0,16381,0,1,0,0,0,0,0,0,0,0,0,0,40,0,0,56,2,48.644351959228516,1.1512127871892848
192.168.29.55,0,0,0,1,0,0,1,0,508,0,1,0,0,0,0,0,0,0,0,0,0,563,1,7.5503524305757015,577,523,49.08007001876831,11.756299446585022
142.251.42.36,0,0,0,1,0,0,1,0,1224,0,1,0,0,0,0,0,0,0,0,0,0,40,0,0,56,2,49.08839392662048,1.1407991893911074
142.251.42.36,0,0,0,1,0,0,1,0,1224,0,1,0,0,0,0,0,0,0,0,0,0,621,1,7.647973600185961,635,581,49.33780002593994,12.870456316782287
142.251.42.36,0,0,0,1,0,0,1,0,1224,0,1,0,0,0,0,0,0,0,0,0,0,1450,1,7.889750875180512,1464,1410,49.341495990753174,29.67076637227133
142.251.42.36,0,0,0,1,0,0,1,0,1224,0,1,0,0,0,0,0,0,0,0,0,0,71,1,4.825164052322361,85,31,49.341495990753174,1.722687938280781
142.251.42.36,0,0,0,1,0,0,1,0,1224,0,1,0,0,0,0,0,0,0,0,0,0,79,1,5.131556065016093,93,39,49.341495990753174,1.8848232736483839
20.189.173.12,0,0,0,1,0,0,1,0,16381,0,1,0,0,0,0,0,0,0,0,0,0,147,1,6.250538715251786,161,107,49.34164810180664,3.2629635651368725
192.168.29.55,0,0,0,1,0,0,1,0,512,0,1,0,0,0,0,0,0,0,0,0,0,40,0,0,54,0,49.34168291091919,1.0944093677852633
192.168.29.55,0,0,0,1,0,0,1,0,512,0,1,0,0,0,0,0,0,0,0,0,0,40,0,0,54,0,49.341779947280884,1.094407215501674
192.168.29.55,0,0,0,1,0,0,1,0,512,0,1,0,0,0,0,0,0,0,0,0,0,79,1,5.182838116298145,93,39,49.342068910598755,1.8848013886183732
192.168.29.55,0,0,0,1,0,0,1,0,512,0,1,0,0,0,0,0,0,0,0,0,0,75,1,4.957854445516393,89,35,49.343782901763916,1.803672008228183
142.251.42.36,0,0,0,1,0,0,1,0,1224,0,1,0,0,0,0,0,0,0,0,0,0,40,0,0,56,2,49.34823799133301,1.134792290047625
192.168.29.55,0,0,0,1,0,0,1,0,511,0,1,0,0,0,0,0,0,0,0,0,0,40,0,0,54,0,49.388757944107056,1.0933662284261423
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,49.388757944107056,1.0933662284261423
192.168.29.55,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,134,1,6.366933072426483,54,0,49.388757944107056,1.0933662284261423
192.168.29.55,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,204,1,6.811482186720784,54,0,49.388757944107056,1.0933662284261423
192.168.29.55,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,131,1,6.288252468846786,54,0,49.388757944107056,1.0933662284261423
216.58.203.35,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,59,1,4.825164052322361,54,0,49.388757944107056,1.0933662284261423
216.58.203.35,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,59,1,4.889680181354619,54,0,49.388757944107056,1.0933662284261423
216.58.203.35,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,59,1,4.889680181354619,54,0,49.388757944107056,1.0933662284261423
192.168.29.55,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,59,1,4.760647923290102,54,0,49.388757944107056,1.0933662284261423
192.168.29.55,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,60,1,5.0,54,0,49.388757944107056,1.0933662284261423
216.58.203.35,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1,4.459431618637295,54,0,49.388757944107056,1.0933662284261423
192.168.29.55,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,61,1,4.9837880587523955,54,0,49.388757944107056,1.0933662284261423
216.58.203.35,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,167,1,6.6169667021421,54,0,49.388757944107056,1.0933662284261423
192.168.29.55,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,65,1,5.1553993115749,54,0,49.388757944107056,1.0933662284261423
216.58.203.35,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,114,1,6.129639463954111,54,0,49.388757944107056,1.0933662284261423
216.58.203.35,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1,4.459431618637295,54,0,49.388757944107056,1.0933662284261423
216.58.203.35,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,386,1,7.402923347254257,54,0,49.388757944107056,1.0933662284261423
216.58.203.35,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1,4.277613436819114,54,0,49.388757944107056,1.0933662284261423
192.168.29.55,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,65,1,5.101345257520845,54,0,49.388757944107056,1.0933662284261423
192.168.29.55,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,61,1,4.923181998146335,54,0,49.388757944107056,1.0933662284261423
192.168.29.55,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,65,1,5.1553993115749,54,0,49.388757944107056,1.0933662284261423
216.58.203.35,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1,4.186704345910023,54,0,49.388757944107056,1.0933662284261423
192.168.29.55,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,61,1,4.8625759375402735,54,0,49.388757944107056,1.0933662284261423
216.58.203.35,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,51,1,4.436605434317882,54,0,49.388757944107056,1.0933662284261423
216.58.203.35,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,52,1,4.386842188131012,54,0,49.388757944107056,1.0933662284261423
142.250.192.106,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,107,1,5.904922836729929,54,0,49.388757944107056,1.0933662284261423
192.168.29.55,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,61,1,4.9837880587523955,54,0,49.388757944107056,1.0933662284261423
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,49.388757944107056,1.0933662284261423
142.250.192.106,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,107,1,6.015744197516808,54,0,49.388757944107056,1.0933662284261423
142.250.192.106,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,52,1,4.418295834054489,54,0,49.388757944107056,1.0933662284261423
142.250.192.106,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,107,1,5.930239292426131,54,0,49.388757944107056,1.0933662284261423
192.168.29.55,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,62,1,5.028639311838574,54,0,49.388757944107056,1.0933662284261423
192.168.29.55,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,270,1,7.116887204073707,54,0,49.388757944107056,1.0933662284261423
142.251.42.10,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,56,1,4.66449777920046,54,0,49.388757944107056,1.0933662284261423
192.168.29.55,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,61,1,4.9837880587523955,54,0,49.388757944107056,1.0933662284261423
192.168.29.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,1,2.292481250360578,54,0,49.388757944107056,1.0933662284261423
157.240.242.61,0,0,0,1,0,0,1,0,569,0,0,0,0,0,0,0,0,0,0,0,0,200,1,6.821683719779191,214,160,52.65795302391052,4.063963517587334
192.168.29.55,0,0,0,1,0,0,1,0,260,0,0,0,0,0,0,0,0,0,0,0,0,86,1,5.393127173448314,100,46,52.660550117492676,1.8989547161373501
157.240.242.61,0,0,0,1,0,0,1,0,569,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,56,2,52.666805028915405,1.0632883458424065
142.251.42.10,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,97,1,5.847654891560773,56,2,52.666805028915405,1.0632883458424065
192.168.29.55,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1,4.892147223664533,56,2,52.666805028915405,1.0632883458424065
192.168.29.55,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,59,1,4.954196310386877,56,2,52.666805028915405,1.0632883458424065
192.168.29.55,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,65,1,5.155399311574899,56,2,52.666805028915405,1.0632883458424065
142.251.42.10,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1,4.368522527728205,56,2,52.666805028915405,1.0632883458424065
192.168.29.55,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,565,1,7.627709286698856,56,2,52.666805028915405,1.0632883458424065
142.251.42.10,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,52,1,4.584962500721156,56,2,52.666805028915405,1.0632883458424065
142.250.192.106,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,60,1,5.0,56,2,52.666805028915405,1.0632883458424065
192.168.29.55,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,61,1,4.923181998146335,56,2,52.666805028915405,1.0632883458424065
142.251.42.10,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,53,1,4.643856189774723,56,2,52.666805028915405,1.0632883458424065
192.168.29.55,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,61,1,4.9837880587523955,56,2,52.666805028915405,1.0632883458424065
192.168.29.55,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,1,2.554945131143149,56,2,52.666805028915405,1.0632883458424065
142.250.192.106,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,123,1,6.2671725819923845,56,2,52.666805028915405,1.0632883458424065
192.168.29.55,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,67,1,5.080274013734042,56,2,52.666805028915405,1.0632883458424065
142.250.192.106,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,54,1,4.700439718141092,56,2,52.666805028915405,1.0632883458424065
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,2,52.666805028915405,1.0632883458424065
157.240.242.61,0,0,0,1,0,0,1,0,569,0,0,0,0,0,0,0,0,0,0,0,0,289,1,7.1717371490366135,303,249,54.15060806274414,5.595505033829257
192.168.29.55,0,0,0,1,0,0,1,0,259,0,0,0,0,0,0,0,0,0,0,0,0,86,1,5.34964891257875,100,46,54.159334897994995,1.8464037674824187
157.240.242.61,0,0,0,1,0,0,1,0,569,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,56,2,54.16810894012451,1.0338186267846343
192.168.29.55,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,71,0,0,56,2,54.16810894012451,1.0338186267846343
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,2,54.16810894012451,1.0338186267846343
