SRC IP,Arrival Time,ARP,LLC,EAPOL,IP,ICMP,ICMP6,TCP,UDP,TCP_w_size,HTTP,HTTPS,DHCP,BOOTP,SSDP,DNS,MDNS,NTP,FTP,IP_padding,IP_ralert,Portcl_src,Portcl_dst,Pck_size,Pck_rawdata,Entropy,Flow Volume,Flow Per Second,Flow Duration,Average Flow Rate
192.168.29.8,12.388581991195679,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,48.965742111206055,1.347881133918229
192.168.29.8,12.392217874526978,0,0,0,1,0,0,1,0,256,0,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,48.96937799453735,1.1027299551573602
192.168.29.8,12.393058776855469,0,0,0,1,0,0,1,0,256,1,0,0,0,0,0,0,0,0,0,0,3,2,250,0,0,264,210,48.970218896865845,5.391031650399593
192.168.29.8,12.393058776855469,0,0,0,1,0,0,1,0,256,0,0,0,0,0,0,0,0,0,0,0,3,2,108,1,4.394335136145801,122,68,48.970218896865845,2.4913100808664783
192.168.29.8,12.398358821868896,0,0,0,1,0,0,1,0,255,0,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,60,6,48.97551894187927,1.2251018732686387
192.168.29.8,12.39882779121399,0,0,0,1,0,0,1,0,255,0,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,48.975987911224365,1.1025811280802
192.168.29.8,17.40745496749878,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,53.984615087509155,1.2225705396438205
192.168.29.8,17.49086594581604,0,0,0,1,0,0,1,0,256,0,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,54.068026065826416,0.9987418429934247
192.168.29.8,17.49086594581604,0,0,0,1,0,0,1,0,256,1,0,0,0,0,0,0,0,0,0,0,3,2,250,0,0,264,210,54.068026065826416,4.882737899078965
192.168.29.8,18.715260982513428,0,0,0,1,0,0,1,0,256,0,0,0,0,0,0,0,0,0,0,0,3,2,107,1,4.394249362572029,121,67,55.292421102523804,2.188365016168138
192.168.29.8,18.71867799758911,0,0,0,1,0,0,1,0,256,0,0,0,0,0,0,0,0,0,0,0,3,2,107,1,4.394249362572029,121,67,55.29583811759949,2.188229785805313
